iso_code,date,NewCases,Vaccinated,Deaths
USA,1/15/2021,247914.0,1.5305339E7,3812.0
USA,10/15/2021,109841.0,2.17638811E8,1827.0
USA,11/15/2021,134827.0,2.27394404E8,1271.0
USA,12/14/2020,212028.0,26505.0,1649.0
USA,12/15/2021,143577.0,2.38328851E8,2286.0
USA,2/15/2021,55725.0,4.401408E7,949.0
USA,3/15/2021,53153.0,7.9473631E7,700.0
USA,4/15/2021,74124.0,1.35618698E8,905.0
USA,5/15/2021,30397.0,1.62616331E8,529.0
USA,6/15/2021,10865.0,1.78290002E8,334.0
USA,7/15/2021,31761.0,1.86214978E8,326.0
USA,8/15/2021,44051.0,1.99096178E8,185.0
USA,9/15/2021,176354.0,2.10499665E8,2766.0
